Name,Survived
"Kelly, Mr. James",遇难
"Wilkes, Mrs. James (Ellen Needs)",幸存
"Myles, Mr. Thomas Francis",遇难
"Wirz, Mr. Albert",幸存
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",幸存
"Svensson, Mr. Johan Cervin",幸存
"Connolly, Miss. Kate",幸存
"Caldwell, Mr. Albert Francis",遇难
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",幸存
"Davies, Mr. John Samuel",遇难
"Ilieff, Mr. Ylio",幸存
"Jones, Mr. Charles Cresson",遇难
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",幸存
"Howard, Mr. Benjamin",遇难
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",幸存
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",幸存
"Keane, Mr. Daniel",遇难
"Assaf, Mr. Gerios",幸存
"Ilmakangas, Miss. Ida Livija",幸存
"Assaf Khalil, Mrs. Mariana (Miriam"")""",幸存
"Rothschild, Mr. Martin",遇难
"Olsen, Master. Artur Karl",幸存
"Flegenheim, Mrs. Alfred (Antoinette)",幸存
"Williams, Mr. Richard Norris II",幸存
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",幸存
"Robins, Mr. Alexander A",遇难
"Ostby, Miss. Helene Ragnhild",幸存
"Daher, Mr. Shedid",幸存
"Brady, Mr. John Bertram",遇难
"Samaan, Mr. Elias",遇难
"Louch, Mr. Charles Alexander",遇难
"Jefferys, Mr. Clifford Thomas",遇难
"Dean, Mrs. Bertram (Eva Georgetta Light)",幸存
"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",幸存
"Mock, Mr. Philipp Edmund",遇难
"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",幸存
"Roth, Miss. Sarah A",幸存
"Cacic, Miss. Manda",幸存
"Sap, Mr. Julius",幸存
"Hee, Mr. Ling",幸存
"Karun, Mr. Franz",遇难
"Franklin, Mr. Thomas Parham",幸存
"Goldsmith, Mr. Nathan",遇难
"Corbett, Mrs. Walter H (Irene Colvin)",幸存
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",幸存
"Peltomaki, Mr. Nikolai Johannes",幸存
